,tactic,technique,capec,cwe,cve,risk_score,cpe,attack,Node Type
0,{'tactic_00008'},"{'technique_00077', 'technique_00175', 'technique_00052', 'technique_00044', 'technique_00088', 'technique_00133', 'technique_00220', 'technique_00095', 'technique_00007', 'technique_00165', 'technique_00161', 'technique_00114', 'technique_00191', 'technique_00179', 'technique_00023', 'technique_00060', 'technique_00264', 'technique_00194', 'technique_00020', 'technique_00111', 'technique_00170', 'technique_00174', 'technique_00190', 'technique_00063', 'technique_00168', 'technique_00147', 'technique_00041', 'technique_00072', 'technique_00167', 'technique_00208', 'technique_00139', 'technique_00109', 'technique_00259', 'technique_00193', 'technique_00047', 'technique_00216', 'technique_00048', 'technique_00112', 'technique_00068', 'technique_00142', 'technique_00188', 'technique_00032', 'technique_00256', 'technique_00260', 'technique_00209', 'technique_00144', 'technique_00163', 'technique_00177', 'technique_00119', 'technique_00149', 'technique_00176', 'technique_00171', 'technique_00148', 'technique_00226', 'technique_00070', 'technique_00120', 'technique_00169', 'technique_00173', 'technique_00028', 'technique_00172', 'technique_00187', 'technique_00266', 'technique_00054'}","{'capec_00308', 'capec_00301', 'capec_00311', 'capec_00317', 'capec_00306', 'capec_00282', 'capec_00305', 'capec_00313', 'capec_00284', 'capec_00286', 'capec_00343', 'capec_00310', 'capec_00302', 'capec_00309', 'capec_00329', 'capec_00307', 'capec_00292', 'capec_00312'}","{'cwe_00347', 'cwe_00519', 'cwe_00546', 'cwe_00522', 'cwe_00987', 'cwe_00521', 'cwe_00503', 'cwe_00449', 'cwe_00730', 'cwe_00349', 'cwe_00409', 'cwe_00451', 'cwe_00346', 'cwe_00523', 'cwe_00520', 'cwe_00373'}","{'cve_01536', 'cve_01045', 'cve_01459', 'cve_01167'}",25.700000000000003,"{'cpe_01044', 'cpe_01168', 'cpe_01533', 'cpe_01458'}",,connected
1,{'tactic_00014'},"{'technique_00027', 'technique_00098', 'technique_00236', 'technique_00050', 'technique_00212', 'technique_00094', 'technique_00146', 'technique_00017', 'technique_00079', 'technique_00277', 'technique_00135', 'technique_00059', 'technique_00228', 'technique_00019', 'technique_00131', 'technique_00024', 'technique_00093', 'technique_00043', 'technique_00067', 'technique_00267', 'technique_00073', 'technique_00252', 'technique_00263', 'technique_00013', 'technique_00056'}","{'capec_00325', 'capec_00283', 'capec_00339', 'capec_00340', 'capec_00297', 'capec_00323', 'capec_00295', 'capec_00327', 'capec_00336', 'capec_00296', 'capec_00294', 'capec_00293', 'capec_00324', 'capec_00326'}","{'cwe_00914', 'cwe_00412', 'cwe_00502', 'cwe_00346'}","{'cve_01448', 'cve_01449', 'cve_01047', 'cve_01144', 'cve_01447', 'cve_01119', 'cve_01455', 'cve_01464', 'cve_01252', 'cve_01500', 'cve_01465', 'cve_01461', 'cve_01510', 'cve_01460', 'cve_01503', 'cve_01475', 'cve_01098', 'cve_01515', 'cve_01498', 'cve_01534', 'cve_01512'}",101.5,"{'cpe_01444', 'cpe_01101', 'cpe_01251', 'cpe_01249', 'cpe_01138', 'cpe_01044', 'cpe_01458', 'cpe_01250', 'cpe_01469', 'cpe_01511', 'cpe_01456', 'cpe_01499', 'cpe_01139', 'cpe_01533', 'cpe_01504', 'cpe_01100', 'cpe_01137', 'cpe_01099', 'cpe_01120', 'cpe_01501', 'cpe_01443'}",,connected
2,{'tactic_00012'},"{'technique_00016', 'technique_00127', 'technique_00088', 'technique_00110', 'technique_00133', 'technique_00162', 'technique_00268', 'technique_00145', 'technique_00036', 'technique_00123', 'technique_00161', 'technique_00022', 'technique_00074', 'technique_00113', 'technique_00160', 'technique_00137', 'technique_00107', 'technique_00235', 'technique_00194', 'technique_00232', 'technique_00141', 'technique_00138', 'technique_00197', 'technique_00213', 'technique_00099', 'technique_00100', 'technique_00065', 'technique_00064', 'technique_00118', 'technique_00129', 'technique_00159', 'technique_00227', 'technique_00234', 'technique_00208', 'technique_00132', 'technique_00083', 'technique_00155', 'technique_00158', 'technique_00046', 'technique_00080', 'technique_00216', 'technique_00202', 'technique_00048', 'technique_00076', 'technique_00104', 'technique_00192', 'technique_00252', 'technique_00209', 'technique_00154', 'technique_00222', 'technique_00257', 'technique_00011', 'technique_00163', 'technique_00255', 'technique_00119', 'technique_00207', 'technique_00096', 'technique_00261', 'technique_00274', 'technique_00275', 'technique_00218', 'technique_00233', 'technique_00120', 'technique_00169', 'technique_00151', 'technique_00181', 'technique_00055', 'technique_00101', 'technique_00229', 'technique_00238', 'technique_00157', 'technique_00128'}","{'capec_00308', 'capec_00301', 'capec_00289', 'capec_00303', 'capec_00313', 'capec_00342', 'capec_00322', 'capec_00334', 'capec_00335', 'capec_00291', 'capec_00330', 'capec_00321', 'capec_00328', 'capec_00344', 'capec_00320', 'capec_00287'}","{'cwe_00357', 'cwe_00420', 'cwe_00422', 'cwe_00653', 'cwe_00730', 'cwe_00426', 'cwe_00427', 'cwe_00423', 'cwe_00985', 'cwe_00373', 'cwe_00546', 'cwe_00449', 'cwe_00503', 'cwe_00359', 'cwe_00362', 'cwe_00455', 'cwe_00419', 'cwe_00651', 'cwe_00450', 'cwe_00409', 'cwe_00370', 'cwe_01012'}","{'cve_01518', 'cve_01496', 'cve_01169', 'cve_01254', 'cve_01143', 'cve_01205', 'cve_01536', 'cve_01459', 'cve_01457', 'cve_01081', 'cve_01181', 'cve_01248', 'cve_01045', 'cve_01146', 'cve_01173'}",101.95000000000002,"{'cpe_01407', 'cpe_01410', 'cpe_01391', 'cpe_01286', 'cpe_01425', 'cpe_01255', 'cpe_01278', 'cpe_01290', 'cpe_01385', 'cpe_01264', 'cpe_01249', 'cpe_01438', 'cpe_01328', 'cpe_01401', 'cpe_01310', 'cpe_01261', 'cpe_01497', 'cpe_01341', 'cpe_01381', 'cpe_01429', 'cpe_01282', 'cpe_01413', 'cpe_01339', 'cpe_01343', 'cpe_01082', 'cpe_01321', 'cpe_01314', 'cpe_01393', 'cpe_01368', 'cpe_01175', 'cpe_01411', 'cpe_01334', 'cpe_01257', 'cpe_01374', 'cpe_01342', 'cpe_01428', 'cpe_01288', 'cpe_01433', 'cpe_01331', 'cpe_01351', 'cpe_01297', 'cpe_01299', 'cpe_01273', 'cpe_01427', 'cpe_01279', 'cpe_01376', 'cpe_01336', 'cpe_01389', 'cpe_01361', 'cpe_01369', 'cpe_01295', 'cpe_01421', 'cpe_01293', 'cpe_01390', 'cpe_01274', 'cpe_01305', 'cpe_01371', 'cpe_01364', 'cpe_01372', 'cpe_01292', 'cpe_01283', 'cpe_01271', 'cpe_01353', 'cpe_01384', 'cpe_01387', 'cpe_01280', 'cpe_01323', 'cpe_01269', 'cpe_01436', 'cpe_01320', 'cpe_01360', 'cpe_01424', 'cpe_01402', 'cpe_01329', 'cpe_01359', 'cpe_01388', 'cpe_01380', 'cpe_01304', 'cpe_01432', 'cpe_01284', 'cpe_01326', 'cpe_01423', 'cpe_01206', 'cpe_01533', 'cpe_01318', 'cpe_01394', 'cpe_01313', 'cpe_01417', 'cpe_01276', 'cpe_01519', 'cpe_01182', 'cpe_01298', 'cpe_01398', 'cpe_01431', 'cpe_01268', 'cpe_01344', 'cpe_01345', 'cpe_01262', 'cpe_01263', 'cpe_01316', 'cpe_01272', 'cpe_01302', 'cpe_01426', 'cpe_01256', 'cpe_01317', 'cpe_01440', 'cpe_01308', 'cpe_01251', 'cpe_01333', 'cpe_01403', 'cpe_01415', 'cpe_01382', 'cpe_01315', 'cpe_01434', 'cpe_01275', 'cpe_01420', 'cpe_01281', 'cpe_01419', 'cpe_01392', 'cpe_01324', 'cpe_01397', 'cpe_01437', 'cpe_01174', 'cpe_01373', 'cpe_01330', 'cpe_01277', 'cpe_01338', 'cpe_01409', 'cpe_01265', 'cpe_01367', 'cpe_01395', 'cpe_01383', 'cpe_01266', 'cpe_01291', 'cpe_01430', 'cpe_01319', 'cpe_01349', 'cpe_01378', 'cpe_01296', 'cpe_01325', 'cpe_01418', 'cpe_01137', 'cpe_01386', 'cpe_01300', 'cpe_01267', 'cpe_01312', 'cpe_01355', 'cpe_01422', 'cpe_01400', 'cpe_01375', 'cpe_01307', 'cpe_01289', 'cpe_01396', 'cpe_01358', 'cpe_01354', 'cpe_01348', 'cpe_01365', 'cpe_01170', 'cpe_01435', 'cpe_01370', 'cpe_01301', 'cpe_01294', 'cpe_01346', 'cpe_01414', 'cpe_01379', 'cpe_01412', 'cpe_01044', 'cpe_01405', 'cpe_01356', 'cpe_01404', 'cpe_01347', 'cpe_01357', 'cpe_01377', 'cpe_01306', 'cpe_01350', 'cpe_01352', 'cpe_01458', 'cpe_01250', 'cpe_01303', 'cpe_01340', 'cpe_01258', 'cpe_01399', 'cpe_01439', 'cpe_01332', 'cpe_01416', 'cpe_01259', 'cpe_01309', 'cpe_01366', 'cpe_01270', 'cpe_01311', 'cpe_01327', 'cpe_01287', 'cpe_01285', 'cpe_01406', 'cpe_01363', 'cpe_01408', 'cpe_01335', 'cpe_01322', 'cpe_01337', 'cpe_01362', 'cpe_01260'}",,connected
3,12,266,519,251,217,1013.9999999999999,277,0.0,Total Number
