,tactic,technique,capec,cwe,cve,risk_score,cpe,attack,Node Type
0,"{'tactic_00012', 'tactic_00014'}","{'technique_00093', 'technique_00036', 'technique_00013', 'technique_00027', 'technique_00146', 'technique_00131', 'technique_00135', 'technique_00067', 'technique_00024', 'technique_00079', 'technique_00098', 'technique_00043', 'technique_00056'}","{'capec_00983', 'capec_00701', 'capec_00616', 'capec_00714', 'capec_00323', 'capec_00876', 'capec_00990', 'capec_00294', 'capec_00327', 'capec_00686', 'capec_00596', 'capec_00459', 'capec_00707', 'capec_00801', 'capec_00784', 'capec_00293', 'capec_00678', 'capec_00700', 'capec_00537', 'capec_00649', 'capec_00690', 'capec_00699', 'capec_00518', 'capec_00296', 'capec_00392', 'capec_00692', 'capec_00704', 'capec_00607', 'capec_00291', 'capec_01015', 'capec_00611', 'capec_00685', 'capec_00670', 'capec_00497', 'capec_00577', 'capec_00368', 'capec_00708', 'capec_00608', 'capec_00705', 'capec_00324', 'capec_00677', 'capec_00456', 'capec_00397', 'capec_00336', 'capec_01011', 'capec_00829', 'capec_00885', 'capec_00698', 'capec_00352', 'capec_00363', 'capec_00703', 'capec_01010', 'capec_01009', 'capec_00988', 'capec_00673', 'capec_00411', 'capec_00667', 'capec_00668', 'capec_00674', 'capec_00942', 'capec_00679', 'capec_00926', 'capec_00339', 'capec_01007', 'capec_00994', 'capec_00691', 'capec_00634', 'capec_00693', 'capec_00769', 'capec_01017', 'capec_00681', 'capec_00710', 'capec_00388', 'capec_00418', 'capec_00602', 'capec_00712', 'capec_01008', 'capec_00467', 'capec_00432', 'capec_00326', 'capec_00680', 'capec_00675', 'capec_00959', 'capec_00780', 'capec_00989', 'capec_00999', 'capec_00794', 'capec_01027', 'capec_00676', 'capec_00828', 'capec_00689', 'capec_00706', 'capec_00921', 'capec_01021', 'capec_00295', 'capec_00688', 'capec_00325', 'capec_00825', 'capec_00924', 'capec_00697', 'capec_00709', 'capec_00641', 'capec_00687', 'capec_00669', 'capec_01023', 'capec_00998', 'capec_00711', 'capec_00297', 'capec_00379', 'capec_00447', 'capec_00996', 'capec_00975'}","{'cwe_00646', 'cwe_00356', 'cwe_00353', 'cwe_00359', 'cwe_00412', 'cwe_00922'}","{'cve_01136', 'cve_01147', 'cve_01144', 'cve_01142', 'cve_01146', 'cve_01148', 'cve_01505', 'cve_01143'}",56.05,{'cpe_01137'},,connected
1,{'tactic_00014'},"{'technique_00093', 'technique_00013', 'technique_00027', 'technique_00146', 'technique_00131', 'technique_00135', 'technique_00067', 'technique_00098', 'technique_00024', 'technique_00079', 'technique_00043', 'technique_00056'}","{'capec_00701', 'capec_00675', 'capec_00959', 'capec_00616', 'capec_00794', 'capec_00668', 'capec_00323', 'capec_00674', 'capec_00942', 'capec_00679', 'capec_00685', 'capec_00926', 'capec_00339', 'capec_00670', 'capec_01027', 'capec_00676', 'capec_00708', 'capec_00990', 'capec_00689', 'capec_00294', 'capec_00691', 'capec_00705', 'capec_00327', 'capec_00324', 'capec_00596', 'capec_00677', 'capec_00686', 'capec_00706', 'capec_00707', 'capec_00801', 'capec_00828', 'capec_00784', 'capec_00336', 'capec_00293', 'capec_00769', 'capec_00678', 'capec_00700', 'capec_00295', 'capec_00698', 'capec_00690', 'capec_00688', 'capec_00352', 'capec_00825', 'capec_00325', 'capec_00697', 'capec_00699', 'capec_00709', 'capec_00710', 'capec_00518', 'capec_00641', 'capec_00687', 'capec_00363', 'capec_00602', 'capec_00669', 'capec_00703', 'capec_01023', 'capec_00712', 'capec_00296', 'capec_00297', 'capec_01009', 'capec_00711', 'capec_00692', 'capec_01008', 'capec_00467', 'capec_00988', 'capec_00673', 'capec_00704', 'capec_00447', 'capec_00432', 'capec_00411', 'capec_00714', 'capec_00326', 'capec_00680'}","{'cwe_00646', 'cwe_00353', 'cwe_00412', 'cwe_00356'}","{'cve_01136', 'cve_01147', 'cve_01505', 'cve_01144'}",29.799999999999997,{'cpe_01138'},,connected
2,{'tactic_00014'},"{'technique_00093', 'technique_00013', 'technique_00027', 'technique_00146', 'technique_00131', 'technique_00135', 'technique_00067', 'technique_00098', 'technique_00024', 'technique_00079', 'technique_00043', 'technique_00056'}","{'capec_00701', 'capec_00675', 'capec_00959', 'capec_00616', 'capec_00794', 'capec_00668', 'capec_00323', 'capec_00674', 'capec_00942', 'capec_00679', 'capec_00685', 'capec_00926', 'capec_00339', 'capec_00670', 'capec_01027', 'capec_00676', 'capec_00708', 'capec_00990', 'capec_00689', 'capec_00294', 'capec_00691', 'capec_00705', 'capec_00327', 'capec_00324', 'capec_00596', 'capec_00677', 'capec_00686', 'capec_00706', 'capec_00707', 'capec_00801', 'capec_00828', 'capec_00784', 'capec_00336', 'capec_00293', 'capec_00769', 'capec_00678', 'capec_00700', 'capec_00295', 'capec_00698', 'capec_00690', 'capec_00688', 'capec_00352', 'capec_00825', 'capec_00325', 'capec_00697', 'capec_00699', 'capec_00709', 'capec_00710', 'capec_00518', 'capec_00641', 'capec_00687', 'capec_00363', 'capec_00602', 'capec_00669', 'capec_00703', 'capec_01023', 'capec_00712', 'capec_00296', 'capec_00297', 'capec_01009', 'capec_00711', 'capec_00692', 'capec_01008', 'capec_00467', 'capec_00988', 'capec_00673', 'capec_00704', 'capec_00447', 'capec_00432', 'capec_00411', 'capec_00714', 'capec_00326', 'capec_00680'}","{'cwe_00646', 'cwe_00353', 'cwe_00412', 'cwe_00356'}","{'cve_01136', 'cve_01147', 'cve_01505', 'cve_01144'}",29.799999999999997,{'cpe_01139'},,connected
3,{'tactic_00014'},"{'technique_00093', 'technique_00013', 'technique_00027', 'technique_00146', 'technique_00131', 'technique_00135', 'technique_00067', 'technique_00098', 'technique_00024', 'technique_00079', 'technique_00043', 'technique_00056'}","{'capec_00701', 'capec_00675', 'capec_00959', 'capec_00668', 'capec_00323', 'capec_00674', 'capec_00942', 'capec_00679', 'capec_00685', 'capec_00926', 'capec_00339', 'capec_00676', 'capec_00708', 'capec_00689', 'capec_00691', 'capec_00294', 'capec_00705', 'capec_00828', 'capec_00327', 'capec_00324', 'capec_00596', 'capec_00677', 'capec_00686', 'capec_00706', 'capec_00707', 'capec_00336', 'capec_00293', 'capec_00678', 'capec_00700', 'capec_00295', 'capec_00698', 'capec_00690', 'capec_00688', 'capec_00325', 'capec_00697', 'capec_00699', 'capec_00709', 'capec_00710', 'capec_00518', 'capec_00687', 'capec_00602', 'capec_00669', 'capec_00703', 'capec_00712', 'capec_00296', 'capec_00297', 'capec_00711', 'capec_01008', 'capec_00692', 'capec_00988', 'capec_00673', 'capec_00704', 'capec_00447', 'capec_00411', 'capec_00714', 'capec_00326', 'capec_00680'}",{'cwe_00412'},{'cve_01503'},6.25,{'cpe_01504'},,connected
4,12,266,519,251,217,1013.9999999999999,277,0.0,Total Number
